date,value
6/1/18,1.75
6/2/18,1.75
6/3/18,1.75
6/4/18,1.75
6/5/18,1.75
6/6/18,1.75
6/7/18,1.75
6/8/18,1.75
6/9/18,1.75
6/10/18,1.75
6/11/18,1.75
6/12/18,1.75
6/13/18,1.75
6/14/18,2
6/15/18,2
6/16/18,2
6/17/18,2
6/18/18,2
6/19/18,2
6/20/18,2
6/21/18,2
6/22/18,2
6/23/18,2
6/24/18,2
6/25/18,2
6/26/18,2
6/27/18,2
6/28/18,2
6/29/18,2
6/30/18,2
7/1/18,2
7/2/18,2
7/3/18,2
7/4/18,2
7/5/18,2
7/6/18,2
7/7/18,2
7/8/18,2
7/9/18,2
7/10/18,2
7/11/18,2
7/12/18,2
7/13/18,2
7/14/18,2
7/15/18,2
7/16/18,2
7/17/18,2
7/18/18,2
7/19/18,2
7/20/18,2
7/21/18,2
7/22/18,2
7/23/18,2
7/24/18,2
7/25/18,2
7/26/18,2
7/27/18,2
7/28/18,2
7/29/18,2
7/30/18,2
7/31/18,2
8/1/18,2
8/2/18,2
8/3/18,2
8/4/18,2
8/5/18,2
8/6/18,2
8/7/18,2
8/8/18,2
8/9/18,2
8/10/18,2
8/11/18,2
8/12/18,2
8/13/18,2
8/14/18,2
8/15/18,2
8/16/18,2
8/17/18,2
8/18/18,2
8/19/18,2
8/20/18,2
8/21/18,2
8/22/18,2
8/23/18,2
8/24/18,2
8/25/18,2
8/26/18,2
8/27/18,2
8/28/18,2
8/29/18,2
8/30/18,2
8/31/18,2
9/1/18,2
9/2/18,2
9/3/18,2
9/4/18,2
9/5/18,2
9/6/18,2
9/7/18,2
9/8/18,2
9/9/18,2
9/10/18,2
9/11/18,2
9/12/18,2
9/13/18,2
9/14/18,2
9/15/18,2
9/16/18,2
9/17/18,2
9/18/18,2
9/19/18,2
9/20/18,2
9/21/18,2
9/22/18,2
9/23/18,2
9/24/18,2
9/25/18,2
9/26/18,2
9/27/18,2.25
9/28/18,2.25
9/29/18,2.25
9/30/18,2.25
10/1/18,2.25
10/2/18,2.25
10/3/18,2.25
10/4/18,2.25
10/5/18,2.25
10/6/18,2.25
10/7/18,2.25
10/8/18,2.25
10/9/18,2.25
10/10/18,2.25
10/11/18,2.25
10/12/18,2.25
10/13/18,2.25
10/14/18,2.25
10/15/18,2.25
10/16/18,2.25
10/17/18,2.25
10/18/18,2.25
10/19/18,2.25
10/20/18,2.25
10/21/18,2.25
10/22/18,2.25
10/23/18,2.25
10/24/18,2.25
10/25/18,2.25
10/26/18,2.25
10/27/18,2.25
10/28/18,2.25
10/29/18,2.25
10/30/18,2.25
10/31/18,2.25
11/1/18,2.25
11/2/18,2.25
11/3/18,2.25
11/4/18,2.25
11/5/18,2.25
11/6/18,2.25
11/7/18,2.25
11/8/18,2.25
11/9/18,2.25
11/10/18,2.25
11/11/18,2.25
11/12/18,2.25
11/13/18,2.25
11/14/18,2.25
11/15/18,2.25
11/16/18,2.25
11/17/18,2.25
11/18/18,2.25
11/19/18,2.25
11/20/18,2.25
11/21/18,2.25
11/22/18,2.25
11/23/18,2.25
11/24/18,2.25
11/25/18,2.25
11/26/18,2.25
11/27/18,2.25
11/28/18,2.25
11/29/18,2.25
11/30/18,2.25
12/1/18,2.25
12/2/18,2.25
12/3/18,2.25
12/4/18,2.25
12/5/18,2.25
12/6/18,2.25
12/7/18,2.25
